Frame,Tiempo(s),GT_Region,Gesto,Confianza(%),Modo,Confirmado,Region,X_norm,Y_norm,Modo_grounding,Hands_fiable
3667,125.0794,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2162,0,raycast,No
3668,125.0925,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2159,0,raycast,No
3669,125.105,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2145,0,raycast,No
3670,125.1171,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.214,0,raycast,No
3671,125.1295,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2128,0,raycast,No
3672,125.1437,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2112,0,raycast,No
3673,125.1566,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2102,0,raycast,No
3674,125.1708,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2094,0,raycast,No
3675,125.1845,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2082,0,raycast,No
3676,125.1962,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2084,0,raycast,No
3677,125.2087,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2103,0,raycast,No
3678,125.222,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2097,0,raycast,No
3679,125.2348,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2098,0,raycast,No
3680,125.2518,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2092,0,raycast,No
3681,125.269,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2044,0,raycast,No
3682,125.2815,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.202,0,raycast,No
3683,125.2939,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2018,0,raycast,No
3684,125.3069,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2012,0,raycast,No
3685,125.3209,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2001,0,raycast,No
3686,125.3333,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2001,0,raycast,No
3687,125.3459,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2074,0,raycast,No
3688,125.3582,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2094,0,raycast,No
3689,125.3717,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2103,0,raycast,No
3690,125.3842,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2083,0,raycast,No
3691,125.3961,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2071,0,raycast,No
3692,125.4093,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2009,0,raycast,No
3693,125.4218,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1994,0,raycast,No
3694,125.4333,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2012,0,raycast,No
3695,125.4464,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1993,0,raycast,No
3696,125.4595,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1993,0,raycast,No
3697,125.471,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1973,0,raycast,No
3698,125.4845,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1975,0,raycast,No
3699,125.4977,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1973,0,raycast,No
3700,125.5166,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1961,0,raycast,No
3701,125.5344,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1959,0,raycast,No
3702,125.5512,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1958,0,raycast,No
3703,125.5683,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1915,0,raycast,No
3704,125.5812,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1897,0,raycast,No
3705,125.5943,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1877,0,raycast,No
3706,125.6085,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1871,0,raycast,No
3707,125.6223,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1828,0,raycast,No
3708,125.6353,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1833,0,raycast,No
3709,125.6482,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1827,0,raycast,No
3710,125.6608,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1835,0,raycast,No
3711,125.6733,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1962,0,raycast,No
3712,125.6872,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2023,0,raycast,No
